product_description,product_review,number_reviwes,price
"Hp Victus Gaming Laptop 15-fa1082wm - 13th Intel Core i5-13420H, NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics, 16GB RAM, 512GB SSD, 15.6"" FHD (1920x1080) 144 Hz IPS, Backlit, Windows 11 - Mica Silver",4.5 out of 5 stars,97,"40,650"
"Hp Victus Gaming Laptop 15-fa1082wm - 13th Intel Core i5-13420H, NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics, 16GB RAM, 512GB SSD, 15.6"" FHD (1920x1080) 144 Hz IPS, Backlit, Windows 11 - Mica Silver",4.5 out of 5 stars,97,"40,650"
"HP Victus Gaming Laptop 12th Gen Intel 8-Core i5-12450H, 8GB RAM, 512GB SSD, 4GB NVIDIA GeForce RTX 3050, 15.6” FHD (1920 x 1080) 144Hz, Windows 11 Home",5.0 out of 5 stars,4,"30,849"
"Lenovo LOQ 15ARP9 Gaming Laptop - Ryzen 5 7235HS, AI Chip: LA1, NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics, 12GB DDR5 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 300nits 100% sRGB 144Hz G-SYNC, Win 11",3.9 out of 5 stars,6,"35,999"
"Hp Victus 15-fa1041ne Gaming Laptop - 13th Intel i5-13500H 12-Cores, 6GB GDDR6 NVIDIA GeForce RTX 3050 Graphics, 8GB RAM, 512GB SSD, 15.6"" FHD (1920x1080) 144Hz IPS, Backlit Keyboard, Performance Blue",4.4 out of 5 stars,108,"38,700"
"Lenovo Legion Pro 5-13th i7-13700HX-16Cores, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 4060 8GB GDDR6 Graphics, 16"" WQXGA (2560x1600) IPS 500nits 100sRGB 240Hz,AI Chip:LA1, 2 Years warranty, Aluminum Top",3.9 out of 5 stars,210,"78,550"
"Lenovo LOQ 15IRX9 Gaming Laptop - 13th Intel Core i7-13650HX, 16GB DDR5 RAM, 1TB SSD, AI Chip: LA1, NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics, 15.6"" FHD (1920x1080) IPS 144Hz 100% sRGB, Win 11",4.5 out of 5 stars,2,"46,950"
"Hp Victus 15-fa1038ne Gaming Laptop - 13th Intel i7-13700H 14-Cores, 6GB GDDR6 NVIDIA GeForce RTX 3050 Graphics, 8GB RAM, 512GB SSD, 15.6"" FHD (1920x1080) 144Hz IPS, Backlit Keyboard, Performance Blue",3.9 out of 5 stars,7,"46,300"
"Lenovo Legion 7 Gaming Laptop, 16"" WQXGA 165Hz HDR, AMD Ryzen 9 5900HX, 32GB (2x16GB) RAM, 1TB SSD, NVIDIA RTX 3080_16GB, Windows 11, Per-Key RGB Keyboard, Storm Grey – Peak Gaming Performance",2.4 out of 5 stars,10,"66,550"
"HP Victus Gaming Laptop (15-fa1008ne), CPU: Core i7-13700H, 16GB DDR4 2DM 3200 Graphics Card: Nvidia GeForce RTX 3050, VRAM: 6GB, Display: 15.6 FHD IPS 250 nits 144Hz Narrow Border, 512GB, Windows 11",1.0 out of 5 stars,1,"58,000"
