نوع البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجة
دوري القسم الثاني-أ,راية الرياضي,وادي دجلة,16:00,1 : 1
دوري القسم الثاني-أ,القناة,بتروجيت,16:00,1 : 2
دوري القسم الثاني-أ,أبو قير للاسمدة,طنطا‏,16:00,2 : 1
دوري القسم الثاني-أ,المصرية للاتصالات,جمهورية شبين,16:00,4 : 0
دوري القسم الثاني-أ,لافيينا أف سي,النصر للتعدين,16:00,3 : 0
البطولة العربية للأندية لكرة السلة,نادي دينامو,الاتحاد السكندري,16:00,89 : 96
البطولة العربية للأندية لكرة السلة,نادي الفتح,نادي وحدة صنعاء,16:00,121 : 70
البطولة العربية للأندية لكرة السلة,نادي اتحاد الجزائر,الأهلي القطري,18:30,83 : 54
البطولة العربية للأندية لكرة السلة,نادي جمعية سلا,نادي القادسية,18:30,76 : 66
تصفيات الأولمبياد - كرة طائرة,سلوفينيا,فنلندا,04:00,3 : 1
تصفيات الأولمبياد - كرة طائرة,الارجنتين,بلغاريا,05:00,3 : 0
تصفيات الأولمبياد - كرة طائرة,صربيا,مصر,07:00,3 : 1
تصفيات الأولمبياد - كرة طائرة,هولندا,بلجيكا,08:00,0 : 3
تصفيات الأولمبياد - كرة طائرة,الولايات المتحدة,تركيا,10:00,3 : 1
تصفيات الأولمبياد - كرة طائرة,بولندا,كندا,11:00,3 : 2
تصفيات الأولمبياد - كرة طائرة,اليابان,تونس‎,13:25,3 : 0
تصفيات الأولمبياد - كرة طائرة,الصين,المكسيك,14:30,3 : 0
تصفيات الأولمبياد - كرة طائرة,إيران,قطر,16:00,3 : 0
تصفيات الأولمبياد - كرة طائرة,كوبا,التشيك,19:30,3 : 0
تصفيات الأولمبياد - كرة طائرة,إيطاليا,أوكرانيا,23:00,3 : 0
