iphone_name,rating,price
Apple iPhone 16 Pro Max 256GB Desert Titanium 5G With FaceTime - International Version,4.6,"74,199"
Apple iPhone 16 Pro Max 256GB Black Titanium 5G With FaceTime - International Version,4.6,"75,489"
Apple iPhone 15 128GB Black 5G With FaceTime - International Version,4.6,"44,400"
Apple iPhone 16 128GB Black 5G With FaceTime - International Version,4.6,"52,357"
Apple iPhone 13 128GB Midnight 5G With Facetime - International Version,4.6,"32,509"
Apple iPhone 16 Pro Max 256GB Desert Titanium 5G With FaceTime - Middle East Version,4.6,"75,153"
Apple iPhone 13 128GB Blue 5G With Facetime - International Version,4.6,"33,333"
Apple iPhone 15 128GB Pink 5G With FaceTime - International Version,4.6,"44,923"
Apple iPhone 16 128GB Ultramarine 5G With FaceTime - International Version,4.6,"52,357"
Apple iPhone 16 128GB Pink 5G With FaceTime - International Version,4.6,"52,357"
Apple iPhone 16 128GB White 5G With FaceTime - International Version,4.6,"53,333"
Apple iPhone 16 Pro Max 256GB Natural Titanium 5G With FaceTime - Middle East Version,4.6,"75,999"
Apple iPhone 16 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version,4.6,"74,217"
Apple iPhone 16 Pro Max 1TB Desert Titanium 5G With FaceTime - International Version,4.6,"98,999"
Apple iPhone 15 128GB Green 5G With FaceTime - International Version,4.6,"46,999"
Apple iPhone 16 Pro 256GB Desert Titanium 5G With FaceTime - Middle East Version,4.6,"71,999"
Apple iPhone 16 Plus 128GB White 5G With FaceTime - International Version,4.6,"59,800"
Apple iPhone 16 Pro Max 1TB Desert Titanium 5G With FaceTime - Middle East Version,4.6,"98,999"
Apple iPad 2025 (11th Generation) A16 11-inch Wi-Fi 128GB Silver - International Version,4.7,"19,999"
Apple iPhone 16 Pro Max 512GB Desert Titanium 5G With FaceTime - Middle East Version,4.6,"88,104"
Apple iPad Air 2025 (7th Generation) M3 11-Inch Wi-Fi 128GB Space Grey - International Version,4.7,"33,999"
Apple iPhone 13 128GB Midnight 5G With FaceTime - UAE Version,4.6,"32,020"
Apple iPad 2025 (11th Generation) A16 11-inch Wi-Fi 128GB Pink - International Version,4.7,"20,584"
Apple iPhone 16 Pro 256GB Natural Titanium 5G With FaceTime - Middle East Version,4.6,"71,999"
Apple iPhone 16 128GB Teal 5G With FaceTime - International Version,4.6,"51,339"
Apple iPhone 16 Pro Max 256GB White Titanium 5G With FaceTime - Middle East Version,4.6,"78,193"
Apple iPhone 16 Pro 256GB Natural Titanium 5G With FaceTime - International Version,4.6,"71,499"
Apple iPhone 16 Pro Max 512GB Black Titanium 5G With FaceTime - Middle East Version,4.6,"87,999"
Apple iPhone 15 Plus 128GB Black 5G With FaceTime - International Version,4.6,"69,999"
Apple iPhone 16 256GB Black 5G With FaceTime - International Version,4.6,"59,999"
Apple iPhone 16 Pro 256GB Black Titanium 5G With FaceTime - International Version,4.6,"75,500"
Apple iPhone 15 128GB Blue 5G With FaceTime - International Version,4.6,"48,699"
Apple iPhone 13 128GB Starlight 5G With Facetime - International Version,4.6,"32,000"
Apple iPhone 16 Plus 256GB Ultramarine 5G With FaceTime - International Version,4.6,"67,777"
Apple iPhone 16 256GB Teal 5G With FaceTime - International Version,4.6,"59,999"
Apple iPhone 16 Pro 256GB Desert Titanium 5G With FaceTime - International Version,4.6,"71,499"
Apple iPad Air 2025 (7th Generation) M3 11-Inch Wi-Fi 256GB Starlight - International Version,4.7,"39,749"
Apple iPad Air 2025 (7th Generation) M3 11-Inch Wi-Fi 256GB Purple - International Version,4.7,"39,749"
Apple iPhone 16 Pro 128GB Black Titanium 5G With FaceTime - International Version,4.6,"71,500"
Apple iPhone 16 Pro Max 256GB Natural Titanium 5G With FaceTime - International Version,4.6,"75,999"
Apple iPad Air 2025 (7th Generation) M3 11-Inch Wi-Fi 128GB Purple - International Version,4.7,"33,999"
Apple iPhone 16 Pro Max 512GB Black Titanium 5G With FaceTime - International Version,4.6,"87,777"
Apple iPhone 16 Plus 128GB Black 5G With FaceTime - International Version,4.6,"59,800"
Apple iPhone 16 Pro 128GB Desert Titanium 5G With FaceTime - International Version,4.6,"66,499"
Apple iPhone 13 128GB Starlight 5G With FaceTime - UAE Version,4.6,"33,500"
Apple iPhone 16 Plus 256GB White 5G With FaceTime - International Version,4.6,"65,500"
Apple iPhone 16 Plus 128GB Teal 5G With FaceTime - International Version,4.6,"59,800"
Apple iPhone 16 Plus 128GB Ultramarine 5G With FaceTime - International Version,4.6,"59,800"
Apple iPad 2025 (11th Generation) A16 11-inch Wi-Fi 128GB Blue - Middle East Version,4.7,"21,000"
Apple iPhone 16 256GB White 5G With FaceTime - International Version,4.6,"60,499"
