title,price,sleeping_capacity,season
"The North Face
Stormbreak 2 Tent",$200.00,2-person,5 lbs. 5 oz.
"REI Co-op
Trailmade 2 Tent with Footprint",$199.00,2-person,4 lbs. 4 oz.
"The North Face
Wawona 6 Tent",$550.00,6-person,3-season
"REI Co-op
Trailmade 1 Tent with Footprint",$179.00,1-person,3 lbs. 13 oz.
"Coleman
Skylodge 4-Person Instant Camping Tent",$240.00,4-person,3-season
"Coleman
Skydome 4-Person Tent with Full-Fly Vestibule",$189.95,4-person,3-season
"Coleman
Skylodge 6-Person Instant Camping Tent",$290.00,6-person,3-season
"REI Co-op
Wonderland 6 Tent",$499.00,6-person,3-season
"REI Co-op
Base Camp 4 Tent",$474.00,4-person,3-season
"The North Face
Wawona 4 Tent",$450.00,4-person,3-season
"REI Co-op
Half Dome 2 Tent with Footprint",$299.00,2-person,4 lbs. 13.3 oz.
"REI Co-op
Wonderland 4 Tent",$429.00,4-person,3-season
"REI Co-op
Trail Hut 2 Tent with Footprint",$229.00,2-person,4 lbs. 14 oz.
"Mountainsmith
Cottonwood 6-Person Tent",$219.73,6-person,2-season
"Coleman
Skydome 6-Person Screen Room Tent with Dark Room Technology",$389.95,6-person,3-season
"NEMO
Hornet OSMO Ultralight 2P Tent",$449.95,2-person,2 lbs. 1 oz.
"REI Co-op
Half Dome 3 Tent with Footprint",$399.00,3-person,5 lbs. 10.8 oz.
"REI Co-op
Campwell 6 Tent",$299.00,6-person,3-season
"The North Face
Wawona 8 Tent",$750.00,8+ people,3-season
"The North Face
Stormbreak 3 Tent",$230.00,3-person,5 lbs. 15 oz.
"Coleman
Skydome Screen Room 4-Person Tent with Dark Room Technology",$269.95,4-person,3-season
"Coleman
Skydome 8-Person Screen Room Tent with Dark Room Technology",$400.00,8+ people,3-season
"Zempire
Aerospeed 6 Air Tent",$600.00,6-person,3-season
"Big Agnes
Spicer Peak 6 Tent",$336.93,6-person,3-season
"ALPS Mountaineering
Camp Creek 4 Tent",$184.73,4-person,3-season
"Big Agnes
Copper Spur UL2 Tent",$549.95,2-person,2 lbs. 10 oz.
"REI Co-op
Base Camp 6 Tent",$549.00,6-person,3-season
"Kelty
Discovery Basecamp 6 Tent",$169.95,6-person,3-season
"Coleman
Skydome 6-Person Tent with Full-Fly Vestibule",$274.95,6-person,3-season
"Gazelle
G5 5-Sided Portable Gazebo",$199.95,4-person,23 lbs. 8 oz.
"Big Agnes
Blacktail Hotel 2 Bikepack Tent",$299.73,2-person,23 lbs. 8 oz.
"The North Face
Wawona 8 Tent",$750.00,8+ people,3-season
"REI Co-op
Wonderland 6 Tent",$499.00,6-person,3-season
"Big Agnes
Blacktail Hotel 3 Bikepack Tent",$313.73,3-person,3-season
"Coleman
Skydome 8-Person Screen Room Tent with Dark Room Technology",$400.00,8+ people,3-season
"ALPS Mountaineering
Camp Creek 4 Tent",$184.73,4-person,3-season
"REI Co-op
Campwell 6 Tent",$299.00,6-person,3-season
"Kelty
Discovery Basecamp 6 Tent",$169.95,6-person,3-season
"Big Agnes
Copper Spur UL2 Tent",$549.95,2-person,2 lbs. 10 oz.
"Big Agnes
Tiger Wall 3 Platinum Tent",$524.73,3-person,2 lbs. 6 oz.
"Kelty
Daydreamer 6P Tent",$249.95,6-person,3-season
"Zempire
Aerospeed 6 Air Tent",$600.00,6-person,3-season
"Snow Peak
Alpha Breeze Tent",$499.95,4-person,3-season
"Marmot
Tungsten 2P Tent with Footprint",$249.00,2-person,4 lbs. 15.7 oz.
"Kelty
Discovery Basecamp Bundle",$299.95,4-person,3-season
"Mountainsmith
Bear Creek 2 Tent with Footprint",$149.95,2-person,4 lbs. 3 oz.
"Kelty
Discovery Basecamp 4 Tent",$109.95,4-person,3-season
"Coleman
Skydome 6-Person Tent with Full-Fly Vestibule",$274.95,6-person,3-season
"Marmot
Tungsten 4P Tent with Footprint",$399.00,4-person,7 lbs. 15 oz.
"NEMO
Dagger OSMO 2P Tent",$549.95,2-person,3 lbs. 5 oz.
"Mountain Hardwear
Mineral King 2 Tent with Footprint",$325.00,2-person,5 lbs. 7.9 oz.
"Big Agnes
Copper Spur UL1 Tent",$449.95,1-person,2 lbs.
"Gazelle
T4 Hub Tent - Overland Edition",$529.95,4-person,3-season
"Gazelle
T4 Hub Tent",$429.95,4-person,3-season
"Big Agnes
Big House 6 Tent",$419.73,6-person,3-season
"Big Agnes
Big House 4 Tent",$374.73,4-person,3-season
"REI Co-op
Half Dome 2 Plus Tent with Footprint",$359.00,2-person,5 lbs. 0.8 oz.
"REI Co-op
Base Camp 6 Tent",$549.00,6-person,3-season
"NEMO
Aurora Highrise 4-Person Tent",$399.95,4-person,3-season
"Marmot
Tungsten 3P Tent with Footprint",$299.00,3-person,6 lbs. 0.3 oz.
"NEMO
Aurora Highrise 6-Person Tent",$499.95,6-person,3-season
"Big Agnes
Copper Spur UL3 Tent",$599.95,3-person,3 lbs. 6 oz.
"Coleman
Skydome Dark Room 6-Person Tent",$234.95,6-person,3-season
"REI Co-op
Campwell 4 Tent",$229.00,4-person,3-season
"Coleman
Skydome XL Dark Room 10-Person Tent",$459.95,8+ people,3-season
"Yakima
SkyRise Medium Tent","$1,424.73",3-person,115 lbs.
"Coleman
Skylodge 8-Person Instant Camping Tent",$360.00,8+ people,3-season
"Zempire
Aerospeed 10 Air Tent",$900.00,8+ people,3-season
"NEMO
Dragonfly OSMO 1P Tent",$449.95,1-person,2 lbs. 1 oz.
"REI Co-op
Half Dome 2 Tent with Footprint - 45th Anniversary Edition",$329.00,2-person,4 lbs. 13.3 oz.
"NEMO
Aurora 2 Backpacking Tent with Footprint",$299.95,2-person,4 lbs. 11 oz.
"NEMO
Dragonfly OSMO 2P Tent",$499.95,2-person,2 lbs. 10 oz.
"REI Co-op
Flash Air 1 Tent",$329.00,1-person,1 lb. 12 oz. (or 1 lb. 11.2 oz. without main pole)
