Expandable Memory Type,No Expandable Memory
Charging Type,Type-C
Secondary Camera,12 - 15.9 MP
Battery Size,4676 mAh
Product Weight,227 g
Version,International Version
Refresh Rates,120Hz
Display Type,OLED
Operating System,iOS
Product Height,163 mm
Voice Calling Capability,Yes
Number of Cores,Hexa Core
Flash,Dual Tone flash
Model Year,2024
Condition,New
Model Name,iPhone 16 Pro Max
Secondary Camera Resolution,12 MP
SIM Count,Dual SIM
RAM Size,8 GB
Internal Memory,256 GB
Screen Size,6.9 in
SIM Type,Nano + eSIM
Colour Name,Desert Titanium
Operating System Version,iOS 18
Product Length,77.6 mm
Product Width,8.3 mm
Processor Number,A18 Pro
Primary Camera Feature,Triple
Fast Charging,Yes
Network Type,5G
Model Number,iPhone 16 Pro Max
Primary Camera (MP),48+48+12
