job_title,company_name,company_location,job_type,experience_level
Graphic Designer,ADDesigner -,"New Cairo, Cairo, Egypt",Full Time,Experienced
Graphic Designer,EYouth -,"Maadi, Cairo, Egypt",Full Time,Experienced
Graphic Designer,sanam holding -,"Dubai, United Arab Emirates",Full Time,Experienced
Graphic Designer,Etisal EG -,"New Cairo, Cairo, Egypt",Full Time,Experienced
Graphic Designer,Myco Arabia -,"New Cairo, Cairo, Egypt",Full Time,Manager
Motion Graphics Designer,Resource options  -,"Nasr City, Cairo, Egypt",Full Time,Experienced
Graphic Designer,World Sky Aviation  -,"Nasr City, Cairo, Egypt",Full Time,Experienced
Graphic Designer,Ultimate Solutions Egypt -,"Sheikh Zayed, Giza, Egypt",Full Time,Experienced
E-learning Motion Graphics Designer,Avanguard -,"New Cairo, Cairo, Egypt",Full Time,Experienced
Graphic Designer,Aman  -,"Maadi, Cairo, Egypt",Full Time,Experienced
Graphic Designer,Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt",Full Time,Experienced
Graphic Designer,Sout AlDonia for Media Production -,"6th of October, Giza, Egypt",Full Time,Experienced
Graphic Designer,EZeats  -,"Heliopolis, Cairo, Egypt",Full Time,Experienced
Junior Graphic Designer,RUSHBRUSH INC -,"Alexandria, Egypt",Full Time,Experienced
Senior Graphic Designer,RUSHBRUSH INC -,"Alexandria, Egypt",Full Time,Experienced
